ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Convertible bonds (Bn. VND)
AAA,2017,3,1526953967258,239827520161,150000000000,541088681942,528819863634,67217901521,2250653582560,0.0,1557079991057,0.0,0.0,,27221252974,3777607549818,2554983615060,1482508550346,1072475064714,1222623934758,1222623934758,0.0,213280026579,,196362766619,3777607549818,101168563285,0.0,528819863634,0.0,45601412428.0,592499880000,592499880000,1072475064714,23533508757,984503523001,0.0,27228032057,0.0,0.0,0,0.0
AAA,2017,2,1332235848924,215304877872,150000000000,478263090618,442176429679,46491450755,2040472363336,0.0,1572921837863,0.0,0.0,,25240823039,3372708212260,2199719244789,1077193213363,1122526031426,1172988967471,1172988967471,0.0,203137136914,,156871309262,3372708212260,172188982498,0.0,442176429679,0.0,45601412428.0,592499880000,592499880000,1122526031426,14139314889,709887032138,0.0,25265039099,0.0,0.0,0,0.0
AAA,2017,1,1341363361327,480029324770,0,417176493592,403169362314,40988180651,1870294320483,0.0,1406817036214,0.0,0.0,,24715199810,3211657681810,2154804227790,1186170042070,968634185720,1056853454020,1056853454020,0.0,197132223055,,70007356592,3211657681810,152120859447,0.0,403169362314,0.0,45952260420.0,569649880000,569649880000,968634185720,30724304816,899752598924,0.0,24493425959,0.0,0.0,0,0.0
AAA,2016,4,1361646469010,406676809154,0,455567565640,450591281857,48810812359,1715969509727,0.0,1434278060008,0.0,44338667000.0,,22353240435,3077615978737,2122863876413,1140284738375,982579138038,954752102324,954752102324,0.0,161862080186,,10861333472,3077615978737,184015378614,0.0,450591281857,0.0,38274886929.0,569649880000,569649880000,982579138038,11280630943,800794847498,0.0,22332919192,0.0,0.0,0,0.0
AAA,2016,3,1018329501246,215527556511,0,491816358636,270402440661,40583145438,1437365375180,0.0,709611743494,0.0,43010288529.0,,19999499930,2455694876426,1546666365900,908521146056,638145219844,909028510526,909028510526,0.0,172467208084,,10707644602,2455694876426,273965763375,0.0,270402440661,0.0,38274886929.0,494999880000,518999880000,340420219844,10843832311,610554606825,0.0,19981601624,0.0,0.0,0,297725000000.0
AAA,2016,2,963666994852,211652620139,31165218194,450225705752,237151347460,33472103307,1178459361946,0.0,690855962863,0.0,40715842055.0,,16169175796,2142126356798,1272184933719,795893528361,476291405358,869941423079,869941423079,0.0,133793352241,,10251742532,2142126356798,256587033995,0.0,237151347460,0.0,38274886929.0,518999880000,518999880000,178828905358,13060261130,534058945739,0.0,16069308072,0.0,0.0,0,297462500000.0
AAA,2016,1,959794975336,252813635649,0,494856285883,192655801417,19469252387,945039043123,0.0,591620167880,0.0,45011150808.0,,14726572862,1904834018459,1059664355790,598843441578,460820914212,845169662669,845169662669,0.0,139431328877,,10023183336,1904834018459,268454207078,0.0,192655801417,0.0,37951553198.0,494999880000,494999880000,163620914212,14880297914,420501508904,0.0,14603799146,0.0,0.0,0,297200000000.0
AAA,2015,4,1071561008455,470061718120,0,363509670487,214186555570,23803064278,883203669585,0.0,636532208633,0.0,42587327201.0,,12924756339,1954764678040,1135279409795,667079248529,468200161266,819485268245,819485268245,0.0,116439130668,,9921791820,1954764678040,169259565534,0.0,214186555570,0.0,35950759648.0,494999880000,494999880000,171262661266,12300795564,438769898696,0.0,12925115705,0.0,0.0,0,296937500000.0
AAA,2015,3,807544281524,227200512276,10000000000,372123722388,178726022264,19494024596,746289038063,0.0,623099972287,0.0,40679834080.0,,12725242497,1553833319587,746508869350,581000655071,165508214279,807324450237,807324450237,0.0,196361812191,,9795615097,1553833319587,210790306204,0.0,178726022264,0.0,35950759648.0,396000000000,396000000000,165508214279,14381544585,414566095373,0.0,12708810589,0.0,0.0,0,0.0
AAA,2015,2,803203987346,252136929527,10000000000,316598003829,203971928011,20497125979,733605657960,0.0,636891568754,0.0,38905726444.0,,10491272545,1536809645306,747628868110,578086744318,169542123792,789180777196,789180777196,0.0,186977437993,,9758456625,1536809645306,147314446310,0.0,203971928011,0.0,31389007730.0,396000000000,396000000000,169542123792,10520370452,423558698483,0.0,10482885022,0.0,0.0,0,0.0
